index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终得分,,start ,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
260,10.00413394,5.08038,307.27,0.1,50,0,0,0,0,0,0,3.794285714,3.487015714,,251746,251988,3.6325,0.51646463,4.66542926,2.59957074,
261,10.00413394,5.08207,322.82,0.1,50,0,0,0,0,0,0,3.79,3.46718,,252112,252354,3.79,0.181107703,4.152215406,3.427784594,
262,9.962794543,5.06893,322.82,0.1,50,0,0,0,0,0,0,3.814285714,3.491465714,,252480,252721,3.875,0.190862703,4.256725406,3.493274594,
263,9.921455147,5.06788,322.82,0.1,50,0,0,0,0,0,0,3.75,3.42718,,252845,253085,3.75,0.250713268,4.251426536,3.248573464,
264,10.12815213,5.05427,322.82,0.1,50,0,0,0,0,0,0,3.7125,3.38968,,253207,253452,3.7125,0.124642345,3.961784691,3.463215309,
265,10.00413394,5.11684,322.82,0.1,50,0,0,0,0,0,0,3.672857143,3.350037143,,253576,253818,3.75125,0.238772905,4.228795809,3.273704191,
266,9.921455147,5.15137,322.82,0.1,50,0,0,0,0,0,0,3.774285714,3.451465714,,253940,254180,3.8525,0.265746926,4.383993852,3.321006148,
267,10.00413394,5.03568,322.82,0.1,50,0,0,0,0,0,0,3.89,3.56718,,254306,254548,3.89,0.307431758,4.504863516,3.275136484,
268,10.00413394,5.06661,322.82,0.1,50,0,0,0,0,0,0,3.711428571,3.388608571,,254668,254910,3.81,0.335857112,4.481714225,3.138285775,
269,9.88011575,5.06012,322.82,0.1,50,0,0,0,0,0,0,3.8525,3.52968,,255039,255278,3.8525,0.332597998,4.517695997,3.187304003,
270,9.797436957,5.07747,322.82,0.1,50,0,0,0,0,0,0,3.765,3.44218,,255406,255643,3.765,0.104608112,3.974216224,3.555783776,
271,9.962794543,5.14962,502.49,0.1,50,0,0,0,0,0,0,3.80125,3.29876,,255772,256013,3.80125,0.226175501,4.253601002,3.348898998,
272,9.921455147,5.08345,502.49,0.1,50,0,0,0,0,0,0,3.765,3.26251,,256138,256378,3.765,0.209965984,4.184931967,3.345068033,
273,10.00413394,5.12243,502.49,0.1,50,0,0,0,0,0,0,3.865,3.36251,,256500,256742,3.865,0.270607782,4.406215563,3.323784437,
274,9.88011575,5.02883,435.62,0.1,50,0,0,0,0,0,0,3.8025,3.36688,,256867,257106,3.8025,0.25532892,4.313157839,3.291842161,
275,9.921455147,5.02843,435.62,0.1,50,0,0,0,0,0,0,3.8225,3.38688,,257233,257473,3.8225,0.149451378,4.121402755,3.523597245,
276,9.962794543,5.03408,435.62,0.1,50,0,0,0,0,0,0,3.8125,3.37688,,257600,257841,3.8125,0.223207143,4.258914285,3.366085715,
277,9.838776354,5.0627,435.62,0.1,50,0,0,0,0,0,0,3.815714286,3.380094286,,257963,258201,3.87625,0.211655886,4.299561773,3.452938227,
278,10.04547334,5.23961,435.62,0.1,50,0,0,0,0,0,0,3.78375,3.34813,,258328,258571,3.78375,0.145792171,4.075334342,3.492165658,
279,9.88011575,5.16638,435.62,0.1,50,0,0,0,0,0,0,3.89,3.45438,,258696,258935,3.89,0.262297541,4.414595082,3.365404918,
280,9.88011575,5.1247,435.62,0.1,50,0,0,0,0,0,0,3.85375,3.41813,,259064,259303,3.85375,0.224177066,4.302104133,3.405395867,
281,9.921455147,5.07163,353.77,0.1,50,0,0,0,0,0,0,3.815,3.46123,,259425,259665,3.815,0.308127988,4.431255976,3.198744024,
282,9.962794543,5.04909,353.77,0.1,50,0,0,0,0,0,0,3.8025,3.44873,,259788,260029,3.8025,0.271595813,4.345691626,3.259308374,
283,9.962794543,5.06258,353.77,0.1,50,0,0,0,0,0,0,3.8775,3.52373,,260154,260395,3.8775,0.322567822,4.522635645,3.232364355,
284,9.756097561,5.15094,353.77,0.1,50,0,0,0,0,0,0,3.865,3.51123,,260525,260761,3.865,0.23071318,4.32642636,3.40357364,
285,10.00413394,5.04658,353.77,0.1,50,0,0,0,0,0,0,3.89625,3.54248,,260888,261130,3.89625,0.276402269,4.449054538,3.343445462,
286,9.88011575,5.09066,353.77,0.1,50,0,0,0,0,0,0,3.774285714,3.420515714,,261254,261493,3.84,0.211660105,4.26332021,3.41667979,
