index,时间长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
68,12.19512195,2.58292,636.92,0.1,100,6,0.86,"0.21,0.08,0.25,0.08,0.12,0.12","5.58,9.47,9.63,10,10.63,11.58","3.68,0.08,0.12,0.55,0.83",,2.175,1.21962,,408314,408609,2.175,0.380788655,2.936577311,1.413422689,
69,8.639933857,2.55093,636.92,0.1,100,0,0,0,0,0,0,0,-0.95538,,408743,408952,0,0,0,0,
70,3.513848698,2.04618,636.92,0.1,100,0,0,0,0,0,0,0,-0.95538,,409042,409127,0,0,0,0,
71,22.19925589,2.38159,947.28,0.1,100,8,9.61,"0.12,0.08,0.12,0.08,0.12,0.08,0.08,8.93","5.71,6.66,7.28,7.86,10.46,11.20,11.74,12.82","0.83,0.54,0.46,2.52,0.62,0.46,1",,1.15,0.95,,409260,409797,1.15,0.92736185,3.004723699,-0.704723699,
72,2.521703183,1.60051,947.28,0.1,100,0,0,0,0,0,0,0,-1.42092,,409798,409859,0,0,0,0,
73,25.25837123,2.47126,947.28,0.1,100,3,10.7,"0.2,0.08,10.42","7.36,10.71,14.51","3.15,3.72",,0.8375,0.8375,,409979,410590,0.8375,0.639056224,2.115612448,-0.440612448,
74,0.124018189,2.58514,947.28,0.1,100,0,0,0,0,0,0,0,-1.42092,,410590,410593,0,0,0,0,
75,12.8152129,2.02558,947.28,0.1,100,0,0,0,0,0,0,2.075,0.65408,,410730,411040,2.075,0.291547595,2.658095189,1.491904811,
76,11.6163704,2.39448,947.28,0.1,100,0,0,0,0,0,0,2.1625,0.74158,,411080,411361,2.1625,0.192260983,2.547021967,1.777978033,
77,9.053327821,2.57821,947.28,0.1,100,0,0,0,0,0,0,0,-1.42092,,411503,411722,0,0,0,0,
78,11.32699463,2.21684,947.28,0.1,100,1,0.12,0.12,0.08,0,,1.9875,0.56658,,411808,412082,1.9875,0.258774585,2.50504917,1.46995083,
79,9.797436957,1.68179,947.28,0.1,100,0,0,0,0,0,0,0,-1.42092,,412266,412503,0,0,0,0,
80,10.08681273,2.40937,947.28,0.1,100,1,0.17,0.17,7.52,0,,2.2625,0.84158,,412545,412789,2.2625,0.176776695,2.616053391,1.908946609,
81,9.053327821,2.55974,392.19,0.1,100,0,0,0,0,0,0,0,-0.588285,,412991,413210,0,0,0,0,
82,10.62422489,1.96525,392.19,0.1,100,1,0.08,0.08,6.66,0,,2.071428571,1.483143571,,413270,413527,1.9625,0.366206421,2.694912842,1.230087158,
83,9.921455147,1.68488,392.19,0.1,100,0,0,0,0,0,0,0,-0.588285,,413735,413975,0,0,0,0,
84,10.16949153,1.02934,392.19,0.1,100,0,0,0,0,0,0,2.442857143,1.854572143,,414001,414247,2.325,0.380788655,3.086577311,1.563422689,
85,22.98470442,2.58922,392.19,0.1,100,4,11.35,"0.12,0.08,0.12,11.03","5.58,7.86,10.63,11.66","2.16,2.69,0.91",,1.4625,0.874215,,414400,414956,1.4625,1.250071427,3.962642853,-1.037642853,
86,0.57875155,2.47982,392.19,0.1,100,0,0,0,0,0,0,0,-0.588285,,414959,414973,0,0,0,0,
87,11.12029764,2.60326,392.19,0.1,100,6,0.89,"0.12,0.12,0.24,0.08,0.08,0.25","2.19,4.51,4.88,8.35,9.01,10","2.2,0.29,3.23,0.58,0.91",,2.05,1.461715,,415106,415375,2.05,0.220389266,2.490778532,1.609221468,
88,11.28565523,2.32226,392.19,0.1,100,1,10.63,10.63,0.41,0,,0.221428571,0.221429,,415557,415830,0.221428571,0.140999831,0.503428234,-0.060571091,
89,10.25217032,2.23283,392.19,0.1,100,7,0.62,"0.08,0.12,0.08,0.08,0.08,0.08,0.08","1.12,4.05,5,6.7,6.99,7.57,7.86","2.85,0.83,1.62,0.21,0.5,0.21",,2.2875,1.699215,,415833,416081,2.2875,0.216712449,2.720924899,1.854075101,
90,21.70318313,2.59003,392.19,0.1,100,0,0,0,0,0,0,0.5,0.5,,416231,416756,0.7125,0.655607679,2.023715358,-0.598715358,
91,2.645721372,2.19124,1048.69,0.1,100,0,0,0,0,0,0,0,0,,416758,416822,0,0,0,0,
92,2.315006201,2.17745,1048.69,0.1,100,0,0,0,0,0,0,0,0,,416934,416990,0,0,0,0,
93,19.42951633,2.57156,1048.69,0.1,100,5,10.78,"0.08,0.28,0.08,0.17,10.17","4.51,6.33,7.81,8.14,8.97","1.74,1.2,0.25,0.66",,0.385714286,0.385714286,,417130,417600,0.475,0.301188123,1.077376247,-0.127376247,
94,5.622157916,2.56904,1048.69,0.1,100,0,0,0,0,0,0,0,,,417602,417738,0,0,0,0,
95,23.39809839,2.03758,1048.69,0.1,100,6,9.96,"0.08,0.08,0.12,0.08,0.17,9.43","6.99,9.8,12.44,12.69,12.94,13.52","2.73,2.56,0.12,0.17,0.41",,0.5625,0.5625,,417852,418418,0.5625,0.238671921,1.039843841,0.085156159,
96,1.364200083,2.46074,1048.69,0.1,100,0,0,0,0,0,0,0,,,418420,418453,0,0,0,0,
97,12.8152129,2.56837,1048.69,0.1,100,4,0.5,"0.12,0.17,0.12,0.08","7.69,8.48,10.13,10.54","0.67,1.48,0.29",,1.8625,1.2625,,418596,418906,1.8625,0.213390989,2.289281978,1.435718022,
98,9.797436957,2.24286,1048.69,0.1,100,0,0,0,0,0,0,0,0,,418978,419215,0,0,0,0,
99,11.40967342,1.83339,1048.69,0.1,100,3,0.33,"0.08,0.12,0.12","0.12,2.03,10.75","1.83,8.6",,2.00125,1.3012,,419309,419585,2.00125,0.302392248,2.606034495,1.396465505,
100,10.16949153,2.22109,1048.69,0.1,100,0,0,0,0,0,0,0,0,,419786,420032,0,0,0,0,
