index,视频时间,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
74,10.00413394,4.88155,63.62,0.05,0,0,0,0,0,0,0,4.5625,4.49888,,27611,27853,4.5625,0.192260983,4.947021967,4.177978033,
75,10.00413394,4.79261,63.62,0.05,0,0,0,0,0,0,0,4.575,4.51138,,27976,28218,4.575,0.138873015,4.85274603,4.29725397,
76,10.00413394,4.82289,63.62,0.05,0,0,0,0,0,0,0,4.5,4.43638,,28341,28583,4.375,0.377018378,5.129036755,3.620963245,
77,10.00413394,4.83343,63.62,0.05,0,0,0,0,0,0,0,4.4875,4.42388,,28706,28948,4.4875,0.164208056,4.815916112,4.159083888,
78,10.00413394,4.90747,63.62,0.05,0,0,0,0,0,0,0,4.5375,4.47388,,29072,29314,4.5375,0.184681192,4.906862385,4.168137615,
79,10.04547334,4.65642,63.62,0.05,0,0,0,0,0,0,0,4.6375,4.57388,,29438,29681,4.6375,0.176776695,4.991053391,4.283946609,
80,10.00413394,4.85418,63.62,0.05,0,0,0,0,0,0,0,4.6375,4.57388,,29803,30045,4.6375,0.199553072,5.036606144,4.238393856,
81,10.00413394,4.86204,65.77,0.05,0,0,0,0,0,0,0,4.5375,4.47173,,30170,30412,4.5375,0.159798981,4.857097962,4.217902038,
82,10.00413394,4.75198,65.77,0.05,0,0,0,0,0,0,0,4.575,4.50923,,30534,30776,4.575,0.166904592,4.908809184,4.241190816,
83,10.00413394,4.82848,65.77,0.05,0,0,0,0,0,0,0,4.5125,4.44673,,30900,31142,4.5125,0.17268882,4.85787764,4.16712236,
84,10.00413394,4.88813,65.77,0.05,0,0,0,0,0,0,0,4.525,4.45923,,31265,31507,4.525,0.190862703,4.906725406,4.143274594,
85,10.00413394,4.79517,65.77,0.05,0,0,0,0,0,0,0,4.65,4.58423,,31630,31872,4.65,0.119522861,4.889045722,4.410954278,
86,10.04547334,4.77508,65.77,0.05,0,0,0,0,0,0,0,4.6,4.53423,,31995,32238,4.6,0.119522861,4.839045722,4.360954278,
87,10.00413394,4.89978,65.77,0.05,0,0,0,0,0,0,0,4.6,4.53423,,32361,32603,4.6,0.177281052,4.954562104,4.245437896,
88,10.00413394,4.74741,65.77,0.05,0,0,0,0,0,0,0,4.621428571,4.555658571,,32728,32970,4.54375,0.247036001,5.037822002,4.049677998,
89,9.962794543,4.83466,65.77,0.05,0,0,0,0,0,0,0,4.52,4.45423,,33097,33338,4.52,0.157842598,4.835685196,4.204314804,
90,10.00413394,4.84728,65.77,0.05,0,0,0,0,0,0,0,4.6,4.53423,,33464,33706,4.6,0.151185789,4.902371578,4.297628422,
91,10.00413394,4.80975,64.69,0.05,0,0,0,0,0,0,0,4.671428571,4.606738571,,33833,34075,4.62125,0.175372053,4.971994107,4.270505893,
92,2.521703183,4.77479,64.69,0.05,0,0,0,0,0,0,0,0,0,,34197,34258,0,0,0,0,
93,10.00413394,4.88836,64.69,0.05,0,0,0,0,0,0,0,4.5375,4.47281,,34379,34621,4.5375,0.150594062,4.838688123,4.236311877,
94,10.04547334,4.81495,64.69,0.05,0,0,0,0,0,0,0,4.585714286,4.521024286,,34743,34986,4.5375,0.159798981,4.857097962,4.217902038,
95,10.00413394,4.81477,64.69,0.05,0,0,0,0,0,0,0,4.6,4.53531,,35110,35352,4.6,0.160356745,4.92071349,4.27928651,
96,10.00413394,4.82318,64.69,0.05,0,0,0,0,0,0,0,4.685714286,4.621024286,,35477,35719,4.625,0.198206242,5.021412484,4.228587516,
97,10.00413394,4.84272,64.69,0.05,0,0,0,0,0,0,0,4.6,4.53531,,35841,36083,4.6,0.160356745,4.92071349,4.27928651,
98,10.00413394,4.84985,64.69,0.05,0,0,0,0,0,0,0,4.657142857,4.592452857,,36207,36449,4.61125,0.158153407,4.927556813,4.294943187,
99,10.00413394,4.78855,64.69,0.05,0,0,0,0,0,0,0,4.50875,4.44406,,36574,36816,4.50875,0.132172777,4.773095553,4.244404447,
100,10.04547334,4.80094,64.69,0.05,0,0,0,0,0,0,0,4.566666667,4.501976667,,36937,37180,4.528571429,0.111269728,4.751110885,4.306031972,
